,Tweet Text,Likes,Time
50,Sri Lanka crisis: The children going hungry as food prices soar https://t.co/iXFGpI6kYs,175,2022-12-08 00:09:40+00:00
51,Indonesia 'sex ban': Criminal code changes threaten other freedoms https://t.co/iGgaN3K8wQ,106,2022-12-08 00:09:40+00:00
52,Hope and worry in Beijing as China relaxes zero-Covid policy https://t.co/FRvBWZmxSE https://t.co/ozF00oRzaB,184,2022-12-07 23:30:09+00:00
53,UK minister accused of abject U-turn on Saudi torture comments https://t.co/foBOoGI0AU,90,2022-12-07 23:15:08+00:00
54,Morocco fans celebrate historic World Cup win https://t.co/5ZAfAacRNM https://t.co/RDyQMrK70U,310,2022-12-07 23:00:05+00:00
55,Former Theranos executive Sunny Balwani gets nearly 13 years in prison https://t.co/T5UhVDeGZ3,196,2022-12-07 22:57:59+00:00
56,Animal eye packages sent to embassies in Ukraine from Germany https://t.co/ZmpxdfqYzo,129,2022-12-07 22:45:12+00:00
57,Police release Idaho murder victims' belongings to grieving families https://t.co/5wMtHaBgJ6,91,2022-12-07 22:30:04+00:00
58,New York Times faces first major walkout since 1970s https://t.co/9d6wijNYub,213,2022-12-07 22:29:37+00:00
59,Court ruling paves way for abortion clinic buffer zones in Scotland https://t.co/d2jXh3ViSx,178,2022-12-07 22:15:06+00:00
60,Wordle: The most Googled word globally and in the US in 2022 https://t.co/4XLGigf3Xb,174,2022-12-07 22:07:03+00:00
61,Nigeria Afrobeats star D'banj arrested for youth fund fraud https://t.co/zfyB1mtgaA,165,2022-12-07 22:00:03+00:00
62,"RT @BBCBreaking: Peru's president tries to dissolve parliament, is impeached, and then replaced in a day of political drama https://t.co/lA…",0,2022-12-07 21:45:17+00:00
63,"Nuclear risk is rising, but we are not mad, Russia’s President Vladimir Putin says
https://t.co/lua9MrUCtx",797,2022-12-07 21:45:03+00:00
64,Peru leader dissolves Congress hours before impeachment bid https://t.co/36JRraEBTH,160,2022-12-07 21:30:07+00:00
65,"RT @BBCSounds: What role have conspiracy theories played in the rise of Germany's Reichsbürger movement?

Misinformation &amp; Social Media Cor…",0,2022-12-07 21:26:53+00:00
66,Oldest DNA reveals two-million-year-old lost world https://t.co/S0Cq7qpLlm,455,2022-12-07 21:16:02+00:00
67,UK man jailed for brother's Covid death fraud claim https://t.co/ynRBzF63Kb,113,2022-12-07 21:00:12+00:00
