,Summary Text,Polarity
37,".@LisaSkyNews: 'Could you find it in your heart to meet directly with Anne Sacoolas?'

'I can't answer that today...probably not', says Harry Dunn's mother, as the family spokesperson describes the moment they nearly met Ms Sacoolas in Washington.

https://t.co/8SAFGHDI69 https://t.co/3Ovas6S6vl",0.1
38,"📷 Previously unseen pictures revealing the private lives of the Duke and Duchess of Sussex have been released in their tell-all docuseries, ""Harry and Meghan""  https://t.co/lS9p8hoDrw",-0.08333333333333333
39,"""There are lots of lessons to be learned"".

The Dunn family spokesperson tells @LisaSkyNews that the Foreign Office have ""acknowledged that they have learnt lessons"" from this case, and they will meet with James Cleverly for ""extensive discussions"".

https://t.co/8SAFGHDI69 https://t.co/nzkZbZnbOy",0.013888888888888886
40,".@jamesmatthewsky presses Anne Sacoolas for a response following her sentencing over the death of Harry Dunn.

Latest: https://t.co/fquZzEVEP7

📺 Sky 501, Virgin 602, Freeview 233 and YouTube https://t.co/wqhArPyBtG",0.25
41,The housing ombudsman for England has told Sky News that more children could die from complications related to damp and mould https://t.co/GduZpmhQgI,0.25
42,"Warning: This video contains flash photography.

Charlotte Charles, Harry Dunn's mother, says it is ""despicable"" that Anne Sacoolas did not travel to the UK to face sentencing, calling her a ""huge coward"".

Latest: https://t.co/fquZzEVEP7

📺 Sky 501, Freeview 233 and YouTube https://t.co/qok9kUPTwP",0.45000000000000007
43,Harry Dunn death: Full text of Anne Sacoolas' statement during sentencing https://t.co/LD2D6AjJjC,0.35
44,"A cabinet minister has admitted there will be ""disruption and delays"" over Christmas as the UK braces for a wave of strikes https://t.co/KEb6nT4Q27",0.0
45,"Warning: This video contains flash photography.

Charlotte Charles, Harry Dunn's mother, says ""job done"" and ""promise kept"" outside the court after Anne Sacoolas' sentencing at the Old Bailey.

Latest: https://t.co/fquZzEVEP7

📺 Sky 501, Virgin 602, Freeview 233 and YouTube https://t.co/nMyom0C6TE",0.19999999999999998
46,"Warning: This video contains flash photography.

Spokesperson for Harry Dunn's family, Rad Sieger, says ""our real enemy is the US government"" for their ""cowardly approach"" to justice.

Latest: https://t.co/fquZzEVEP7 

📺 Sky 501, Virgin 602, Freeview 233 and YouTube https://t.co/AlGUJw7Dcf",0.35
47,"In a statement, Anne Sacoolas says she is ""deeply sorry for the pain I have caused"", adding ""there is not a day that Harry is not on my mind"".

Latest: https://t.co/fquZzEVEP7

📺 Sky 501, Virgin 602, Freeview 233 and YouTube https://t.co/6ZYLMx0g7A",0.0
48,A record estimated 7.2 million people were waiting to start treatment at the end of October https://t.co/MuaoFyL4of,0.0
49,"The last surviving member of the World War Two Dambusters, George Leonard ""Johnny"" Johnson, has died at the age of 101 https://t.co/5blj7VvvoL",0.0
50,"Anne Sacoolas has been sentenced to eight months in prison suspended for 12 months for causing the death of teenager Harry Dunn by careless driving in 2019.

@LisaSkyNews has the latest.

Latest: https://t.co/fquZzEVEP7

📺 Sky 501, Virgin 602, Freeview 233 and YouTube https://t.co/p9fkj9YJb2",0.16666666666666666
51,"BREAKING: Former US spy Anne Sacoolas has been sentenced to eight months imprisonment suspended for 12 months for causing the death of teenage motorcyclist Harry Dunn by careless driving.

https://t.co/4bWbcXimFf

📺 Sky 501, Virgin 602, Freeview 233 and YouTube https://t.co/TylYanYc3n",-0.16666666666666666
52,Anne Sacoolas: Former US spy avoids jail over death of teen motorcyclist Harry Dunn https://t.co/eZebxcJuZD,-0.03333333333333333
53,"Mrs Justice Cheema-Grubb says there is ""little reason"" for Anne Sacoolas not to attend court for her sentencing at the Old Bailey for causing the death of Harry Dunn by careless driving.

Latest: https://t.co/fquZzEVEP7

📺 Sky 501, Virgin 602, Freeview 233 and YouTube https://t.co/8pWLgK2ybT",-0.021875000000000006
54,The team was caught on camera singing the song after beating Scotland 1-0 at Hampden Park in October https://t.co/DQzsMrqUFU,0.0
55,The first coins featuring King Charles's portrait start entering circulation today https://t.co/AVYX4ZGmDg,0.25
56,"A savvy shopper said she has saved more than £7,000 on her weekly shop since 2019 by purchasing products past their best before date https://t.co/EUG0B0B5c8",0.4166666666666667
57,"Watch live: Track the impact of global warming on the world 🌍

This data shows how much temperatures have risen as well as how much carbon dioxide has been emitted since the industrial revolution  https://t.co/tGyg4KJyzI",0.1340909090909091
58,"Basketball star Brittney Griner was released in exchange for convicted Russian arms dealer Viktor Bout, who has been known as the ""Merchant of Death"" https://t.co/5Sb6kk5CMT",0.0
59,"The pooch's unexpected journey happened at Dane County Regional Airport, the Transportation Security Administration (TSA) said 🐕🩻  https://t.co/lu8rL6430e",0.1
60,Strep A deaths in children rise to 15 across UK https://t.co/ANwCNWm2BU,0.0
61,Rise in computer professions as manufacturing jobs decline https://t.co/4HqsnSRYOK,0.0
62,"A new targeted drug, capivasertib, has shown ""fantastic"" results, shrinking tumours and doubling the amount of time people have before their disease progresses https://t.co/0NZ6gApOuO",0.2681818181818182
63,Type 2 diabetes cases among young people on the rise due to increase in obesity rates https://t.co/NAxVUg4YD8,-0.012499999999999997
64,Harry Dunn said 'don't let me die' after crash - former US spy Anne Sacoolas being sentenced for killing teenage | Watch live 👇,0.04545454545454545
65,"Figures obtained through a Freedom of Information request found the Ministry of Defence splashed £2,476,000 on the vessel, a successor to the Royal Yacht Britannia https://t.co/4YWIsUGkGA",0.0
