,Summary Text,Polarity
64,UK man jailed for brother's Covid death fraud claim https://t.co/ynRBzF63Kb,0.0
65,"People look to San Francisco for progressive ideas, says mayor https://t.co/Pe0ublkG5T",0.0
66,What you need to know before the World Cup quarter-finals https://t.co/CdrKXZUG6f,0.0
67,Hope and worry in Beijing as key China zero-Covid policies scrapped https://t.co/wTnKwXopu0,0.0
68,'Migrants' flee plane after emergency Barcelona landing following woman faking labour https://t.co/JuM6heyVu7,0.0
69,German 'crackpot' movement turns radical and dangerous https://t.co/ELizMPzrgq,-0.3
70,US Supreme Court hears case that could reshape election laws https://t.co/oLZgjHIEge,0.0
71,The good Samaritans helping Indians find jobs in the US after major tech layoffs https://t.co/VWDluESc0R,0.38125
72,"Woman whose family died in tower block fire in China blames government for their death

Beijing denies their zero-Covid policy is to blame

https://t.co/LDrUCaMcMP https://t.co/tYAiwp4NQp",0.0
73,"Missing facts over woman's Qatar death, says coroner https://t.co/LOoCM591rI",-0.2
74,Kenya looks to criminalise doping in athletics after string of cases https://t.co/5sWsYdeJk4,0.0
75,"What Raphael Warnock's win in means for him, the US Senate and Georgia https://t.co/1AHBycW8vZ",0.8
76,Nigerians warned of TikTok video challenge virus https://t.co/CWyxwMG1TT,0.0
77,Killer of South African anti-apartheid hero Chris Hani freed https://t.co/qp4EyLSSwS,0.0
78,E-cigarette manufacturer Juul Labs agrees thousands of US settlements https://t.co/PhtuwEyYI8,0.0
79,"Polygamous cult leader Samuel Bateman had 20 wives, FBI says https://t.co/FynKqjpuK8",0.0
80,"Iraqi activist jailed over tweet ""insulting"" Iran-backed militia force https://t.co/tBVWxrOXn6",-1.0
81,Operating on a baby in the dark after missiles hit Ukrainian capital Kyiv https://t.co/rOrsQ0Gy4s https://t.co/HjunG3Gl97,-0.15
82,"Woman whose family died in tower block fire in China blames government for their death

Beijing denies their zero-Covid policy is to blame

https://t.co/LDrUCb3Obp",0.0
83,Ukraine's President Volodymyr Zelensky named Time Magazine's 2022 Person of the Year https://t.co/dXbcpyN1jX,0.0
84,https://t.co/lTc8BUobc4,0.0
85,Elon Musk criticises investigation into offices at Twitter HQ being turned into bedrooms https://t.co/733XntDX08,0.0
86,"What's behind the protests and dissent against the Chinese leader Xi Jinping?

Listen to the latest episode of The Briefing Room @BBCSounds https://t.co/abDw3Bx9Gq",0.033333333333333326
87,AJ Wavy's rise from TikTok mashups to a record contract with Sony https://t.co/XFjrEnE08V,0.0
88,Taliban conduct first public execution since return to power https://t.co/LNTvQu9Acu,0.125
89,How Russia is rebuilding key bridge to Crimean peninsula after October explosion https://t.co/TEdoxZQulE,0.0
90,Ukraine's President Volodymyr Zelensky named Time Magazine's 2022 Person of the Year,0.0
91,Nintendo lands Call of Duty in 10-year Microsoft deal https://t.co/3aWLL1MpwD,0.0
92,RT @BBCBreaking: UK's former health secretary Matt Hancock says he will not stand at the next general election https://t.co/vXHJvazgOF,0.016666666666666673
93,New Zealand places child in anti-vax blood case in custody https://t.co/lXJv2dxFFs,0.13636363636363635
94,US Senate unanimously passes bill to curb private ownership of big cats https://t.co/DZDLlVaDOv,0.0
95,"Operating on a baby in the dark after missiles hit Ukrainian capital Kyiv 

https://t.co/rOrsQ0G0eU https://t.co/tAQQCYrVM8",-0.15
96,Islamic State members' relatives 'stuck in limbo' in Syrian camps https://t.co/d8Fu7TCLPz,0.0
97,RT @BBCBreaking: Two men arrested after break-in at home of England footballer Raheem Sterling https://t.co/aumvbrHlXH,0.0
98,Germany arrests 25 accused of plotting coup https://t.co/HV72JJcAQ9,0.0
99,Voters in Georgia decide hard-fought run-off election for the final US Senate seat https://t.co/nNG0KMZwmA,0.0
