,Tweet Text,Likes,Time
31,The consumer elves at Which? looked at how much ten popular festive foods cost at five of the biggest UK supermarkets 👇 https://t.co/ymTW5x6WiH,17,2022-12-01 13:46:39+00:00
32,Boris Johnson will fight for his seat at next general election https://t.co/6UO91Wo764,649,2022-12-01 13:39:43+00:00
33,Harry and Meghan's documentary series trailer released by Netflix https://t.co/y88F1XxZsG,33,2022-12-01 13:37:42+00:00
34,"'Institutional racism is a problem and it's in Buckingham Palace' says domestic abuse charity founder Ngozi Fulani - adding ""one person isn't responsible, they need to review their whole policy on equality and race"".

https://t.co/YCJSUM8EWA

📺 Sky 501, Virgin 602, Freeview 233 https://t.co/feFkXXUa2V",92,2022-12-01 13:29:56+00:00
35,Black charity boss Ngozi Fulani says she felt abused and 'trapped' https://t.co/k18ZqpAp3T,141,2022-12-01 13:21:41+00:00
36,"Domestic abuse charity founder Ngozi Fulani says she felt 'abused' and 'verbally attacked' when she was asked repeatedly where she was ""really"" from by Prince William's godmother. 

https://t.co/EAxjDyPhoJ

📺 Sky 501, Virgin 602, Freeview 233 and YouTube https://t.co/QW4nT5h9xf",94,2022-12-01 13:20:52+00:00
37,"Buyers are increasingly struggling to afford homes despite prices falling faster, according to a closely watched report https://t.co/p9rgffksNM",14,2022-12-01 13:19:44+00:00
38,Harry and Meghan's documentary trailer released by Netflix https://t.co/y5bOAEFUfv,146,2022-12-01 13:09:40+00:00
39,"📷 A polar bear cub basking in a field of flowers; a sea lit up by glowing glass eels; and a tiny coral-camouflaged seahorse in its natural habitat. 

Take a look at the 25 photos shortlisted for a top wildlife photography award 👇 https://t.co/RnWoyT57vX",9,2022-12-01 13:00:01+00:00
40,"""He had said he wanted to be the final SNP Westminster leader and in that aspiration, he has failed.""

Sky's @joepike gives his analysis of Ian Blackford's decision to step down as SNP Westminster leader.

https://t.co/WUnquWvHqf 

📺 Sky 501, Virgin 602, Freeview 233 and YouTube https://t.co/5Twdt56Yyj",18,2022-12-01 12:39:26+00:00
41,"The rising costs have likely hit poorer people harder, as those on low incomes tend to spend a greater share of their pay packets on food https://t.co/xOlCinwjkp",38,2022-12-01 12:38:40+00:00
42,"Islamic State leader blew himself up after being surrounded, Syrian fighter says https://t.co/kaCk3kmuwf",74,2022-12-01 12:35:38+00:00
43,Footage shared on social media showed motorists battling through muddy floodwater before the landslide in the southern state of Parana https://t.co/nihMFZHInC,35,2022-12-01 12:17:49+00:00
44,"Awaab Ishak's death 'rightly shocked social housing sector', new boss of Rochdale Boroughwide Housing says https://t.co/02yd3EhnWN",11,2022-12-01 12:04:35+00:00
45,Who is Ngozi Fulani - the domestic abuse charity founder subjected to racism at Buckingham Palace? https://t.co/JVAlFdMyTW,102,2022-12-01 12:00:35+00:00
46,"""We should be going through wedding photos but instead, I have to pick out clothes to bury my husband in"": US country star dies just hours after getting married https://t.co/F6mxiKyisH",40,2022-12-01 11:58:54+00:00
47,Major Chinese cities have started to lift COVID lockdowns and ease restrictions following widespread protests over stringent zero-COVID policies https://t.co/wwKvQTXFE9,48,2022-12-01 11:48:38+00:00
48,Ian Blackford stepping down as SNP's Westminster leader https://t.co/1IgHGxxao4,84,2022-12-01 11:48:34+00:00
49,"BREAKING: Ian Blackford to stand down as Westminster leader of SNP, but will remain an MP.

Latest: https://t.co/KwSSHB7qkR

📺 Sky 501, Virgin 602, Freeview 233 and YouTube https://t.co/Tsh1gmOsCn",53,2022-12-01 11:47:16+00:00
50,"A crypto entrepreneur says his net worth has fallen from $26.5bn to $100,000 after his company imploded https://t.co/at1nRtGlA1",179,2022-12-01 11:42:33+00:00
