,Tweet Text,Likes,Time
43,"REJECTED: President Biden has requested the Supreme Court intervene and has said he is ""confident"" that his ""student debt relief plan is legal."" https://t.co/nx1McR4VDT https://t.co/fdNXWV8M9j",1653,2022-12-01 11:00:10+00:00
44,"Sam Bankman-Fried's appearance at NYT symposium reveals similarities between him, 2008 elites: Investor https://t.co/mGRo8UTuhX",107,2022-12-01 10:50:05+00:00
45,"Bible verse of the day: God will wipe away every tear, scripture promises https://t.co/aAlF5Frvo5",502,2022-12-01 10:40:06+00:00
46,Seattle man sentenced after attempting to join ISIS: 'No problem with killing' https://t.co/y3FBQdjLmL,142,2022-12-01 10:30:10+00:00
47,OPINION: Weaken America First is the new Democrat Party policy https://t.co/smGvoqRv4j,698,2022-12-01 10:20:04+00:00
48,Alyssa Milano reveals a 'progressive' revival of 'Who's the Boss' https://t.co/CXGZ1Q2gqW,213,2022-12-01 10:10:03+00:00
49,"‘TRASH DAY’: While Kim Kardashian is still “reevaluating” her relationship with the fashion powerhouse, Jason Aldean's wife is saying goodbye. https://t.co/ROO8rtVwC6 https://t.co/pT1RqL9v1h",2948,2022-12-01 10:00:18+00:00
50,"Danny Masterson trial: Attorney, DA release statements after '70s Show' star gets mistrial https://t.co/uzl3Q26XWl",64,2022-12-01 09:50:02+00:00
51,OPINION: I was fired as a school counselor for using free speech and saying ‘F--- transgenderism’ https://t.co/hmaNIcnkqh,228,2022-12-01 09:40:08+00:00
52,Idaho murders: FBI profiler says suspect could go to victims' funerals to take 'pleasure' in crimes https://t.co/popxPzUH08,71,2022-12-01 09:30:07+00:00
53,"Americans' concerns about nuclear war and energy conflicts grows, new survey finds https://t.co/hK0QUx6SqU",155,2022-12-01 09:20:07+00:00
54,"Alabama 'Friendsgiving' diners tip Waffle House waitress $1,125: 'Normalize being kind' https://t.co/HuSeeF02jY",230,2022-12-01 09:10:06+00:00
55,Democrats on the verge of upending their 2024 presidential nominating calendar https://t.co/ZVrk4gX5h8,47,2022-12-01 09:00:10+00:00
56,Taylor Lorenz defending China lockdowns latest instance of media shielding communist regime https://t.co/hCXU22Hxz0,231,2022-12-01 08:50:04+00:00
57,Ceasefire! School board members call a truce after a year of equity battles https://t.co/KPlB0pm5Nj,49,2022-12-01 08:40:07+00:00
58,"Jessie James Decker, The Rock, Pink lead Hollywood families fighting back against parenting police https://t.co/tvlNFGVv6Z",112,2022-12-01 08:30:11+00:00
59,Warnock was youth pastor of Harlem church that hosted Farrakhan town hall https://t.co/Xdxm0XXo1w,210,2022-12-01 08:20:07+00:00
60,University of Idaho holds vigil honoring four slain college students: 'We lost four beautiful souls' https://t.co/T1yDtAswSH,113,2022-12-01 08:10:06+00:00
61,Rose Bowl signs agreement to hasten CFP expansion to 12 teams: Reports https://t.co/RMtn1G4Oxt,71,2022-12-01 08:00:13+00:00
62,"On this day in history, Dec. 1, 1955, Rosa Parks refuses to give up her bus seat to a White passenger https://t.co/UMuDw2Dakw",466,2022-12-01 07:55:02+00:00
63,"Jerry Stackhouse, Vanderbilt head coach, restrained from referees after fiery ejection https://t.co/pryozCk4r5",53,2022-12-01 07:50:03+00:00
64,Lightning's Pat Maroon perfectly responds to fat-shaming comment from Bruins broadcaster Jack Edwards https://t.co/HnvveWssR8,52,2022-12-01 07:45:05+00:00
65,.@IngrahamAngle: Republican leadership seems far more comfortable cutting deals to satisfy Democrats https://t.co/PlOufFJGrb,262,2022-12-01 07:40:05+00:00
66,Meghan Markle headlines Indiana event for women’s empowerment https://t.co/TFBgkHnOSJ,52,2022-12-01 07:40:04+00:00
67,OPINION: @greggutfeld: The left cannot condemn heinous acts if it means agreeing with a Republican https://t.co/Fs3FdqGMG0,307,2022-12-01 07:35:06+00:00
